instrumentId,optionName,indexName,expiryInWords,optionType,optionStrikePrice,expiryInDate
867065,SENSEX 28DEC2027 PE 79000,SENSEX,28DEC2027,PE,79000,2027-12-28T00:00:00
1140701,SENSEX 29JUL2025 CE 85000,SENSEX,29JUL2025,CE,85000,2025-07-29T00:00:00
826928,SENSEX 15JUL2025 PE 87900,SENSEX,15JUL2025,PE,87900,2025-07-15T00:00:00
824813,SENSEX 08JUL2025 PE 80800,SENSEX,08JUL2025,PE,80800,2025-07-08T00:00:00
840095,SENSEX 05AUG2025 CE 80000,SENSEX,05AUG2025,CE,80000,2025-08-05T00:00:00
886471,SENSEX 24JUN2025 PE 74500,SENSEX,24JUN2025,PE,74500,2025-06-24T00:00:00
824806,SENSEX 08JUL2025 PE 88200,SENSEX,08JUL2025,PE,88200,2025-07-08T00:00:00
822272,SENSEX 01JUL2025 CE 80500,SENSEX,01JUL2025,CE,80500,2025-07-01T00:00:00
1140068,BANKEX 29JUL2025 PE 59300,BANKEX,29JUL2025,PE,59300,2025-07-29T00:00:00
1139992,SENSEX 29JUL2025 PE 82400,SENSEX,29JUL2025,PE,82400,2025-07-29T00:00:00
822384,SENSEX 01JUL2025 CE 83300,SENSEX,01JUL2025,CE,83300,2025-07-01T00:00:00
828919,SENSEX 22JUL2025 PE 85900,SENSEX,22JUL2025,PE,85900,2025-07-22T00:00:00
1140688,SENSEX 29JUL2025 PE 82000,SENSEX,29JUL2025,PE,82000,2025-07-29T00:00:00
1106136,BANKEX 24JUN2025 PE 52700,BANKEX,24JUN2025,PE,52700,2025-06-24T00:00:00
887032,SENSEX 24JUN2025 PE 79500,SENSEX,24JUN2025,PE,79500,2025-06-24T00:00:00
826465,SENSEX 15JUL2025 CE 84000,SENSEX,15JUL2025,CE,84000,2025-07-15T00:00:00
827316,SENSEX 26AUG2025 CE 88100,SENSEX,26AUG2025,CE,88100,2025-08-26T00:00:00
828554,SENSEX 22JUL2025 PE 82200,SENSEX,22JUL2025,PE,82200,2025-07-22T00:00:00
1142301,SENSEX 24JUN2025 PE 88300,SENSEX,24JUN2025,PE,88300,2025-06-24T00:00:00
1140652,SENSEX 29JUL2025 PE 87400,SENSEX,29JUL2025,PE,87400,2025-07-29T00:00:00
830981,BANKEX 29JUL2025 PE 71500,BANKEX,29JUL2025,PE,71500,2025-07-29T00:00:00
828111,BANKEX 29JUL2025 CE 70700,BANKEX,29JUL2025,CE,70700,2025-07-29T00:00:00
1141313,BANKEX 29JUL2025 PE 66300,BANKEX,29JUL2025,PE,66300,2025-07-29T00:00:00
1141991,SENSEX 27JUN2028 PE 86000,SENSEX,27JUN2028,PE,86000,2028-06-27T00:00:00
827376,BANKEX 26AUG2025 CE 55300,BANKEX,26AUG2025,CE,55300,2025-08-26T00:00:00
1140464,BANKEX 29JUL2025 CE 61500,BANKEX,29JUL2025,CE,61500,2025-07-29T00:00:00
826481,BANKEX 26AUG2025 PE 59700,BANKEX,26AUG2025,PE,59700,2025-08-26T00:00:00
827114,BANKEX 26AUG2025 PE 66100,BANKEX,26AUG2025,PE,66100,2025-08-26T00:00:00
840085,SENSEX 05AUG2025 CE 81700,SENSEX,05AUG2025,CE,81700,2025-08-05T00:00:00
860376,SENSEX 24JUN2025 CE 70000,SENSEX,24JUN2025,CE,70000,2025-06-24T00:00:00
826999,SENSEX 26AUG2025 CE 76600,SENSEX,26AUG2025,CE,76600,2025-08-26T00:00:00
824956,SENSEX 08JUL2025 CE 86500,SENSEX,08JUL2025,CE,86500,2025-07-08T00:00:00
824906,SENSEX 08JUL2025 PE 85400,SENSEX,08JUL2025,PE,85400,2025-07-08T00:00:00
886554,SENSEX 24JUN2025 CE 78100,SENSEX,24JUN2025,CE,78100,2025-06-24T00:00:00
1141130,BANKEX 29JUL2025 PE 64500,BANKEX,29JUL2025,PE,64500,2025-07-29T00:00:00
1128011,SENSEX 24JUN2025 CE 85300,SENSEX,24JUN2025,CE,85300,2025-06-24T00:00:00
1141728,SENSEX 29JUL2025 PE 72700,SENSEX,29JUL2025,PE,72700,2025-07-29T00:00:00
825614,SENSEX 08JUL2025 PE 89100,SENSEX,08JUL2025,PE,89100,2025-07-08T00:00:00
